IDX,X,Y,TYPE,SPEED,DirType,Direction // Сгенерировано 2015-10-31 00:28:23 http://mapcam.info
0,71.4332557,51.1129929,3,60,0,0
0,71.4139545,51.0593040,3,60,0,0
0,73.3267558,50.0522824,101,50,1,200
0,73.3475502,50.1820515,101,50,1,165
0,73.3277965,50.0551343,101,50,1,23
0,73.3444000,50.1862000,101,50,1,335
0,73.0979848,49.8163401,5,40,1,246
0,71.5038300,51.1476370,3,60,1,29
0,71.5040070,51.1476135,3,60,1,300
0,71.5040231,51.1476673,3,60,1,220
0,69.4042826,53.2939709,101,40,1,160
0,69.3805879,53.2895426,101,10,1,260
0,69.4200883,53.2881718,101,40,1,276
0,69.3713156,53.2863365,101,40,1,261
0,69.3646669,53.2833991,101,40,1,261
0,71.4451593,51.1415894,3,60,1,357
0,71.4451486,51.1416399,3,60,1,88
0,71.4098776,51.1631574,3,60,1,78
0,71.4098078,51.1633901,3,60,1,169
0,71.4105320,51.1416062,1,60,1,194
0,71.4248657,51.1348576,1,60,1,285
0,71.4077640,51.1342787,3,60,1,284
0,71.3164455,51.1961711,5,60,2,127
0,71.3331395,51.1915284,5,60,2,111
0,71.4072919,51.1343729,3,60,1,102
0,71.4075816,51.1343864,3,60,2,14
0,71.4343715,51.1331274,3,60,1,12
0,71.4344573,51.1333294,3,60,1,103
0,71.4344251,51.1332015,3,60,1,286
0,71.4344144,51.1332150,3,60,1,194
0,71.4601690,51.1270594,3,60,1,113
0,71.4607912,51.1268422,2,60,1,304
0,71.4366138,51.1786603,3,60,1,339
0,71.4366675,51.1785696,3,60,1,167
0,71.4365118,51.1786771,3,60,1,74
0,71.4496359,51.1533104,1,60,1,239
0,71.4861757,51.1764844,5,60,1,210
0,69.3837529,53.2986455,101,40,1,351
0,71.4482868,51.1309528,1,60,1,284
0,71.4704096,51.1490134,3,60,1,269
0,71.4753073,51.1652672,3,60,1,227
0,71.4578408,51.1442078,102,30,2,61
0,71.4702755,51.1489562,3,60,1,72
0,71.4703023,51.1489864,3,60,2,154
0,71.4667511,51.1367864,3,60,1,65
0,71.4668906,51.1367157,3,60,1,154
0,71.4749372,51.1652538,3,60,1,37
0,71.4749587,51.1653009,3,60,1,115
0,73.9512138,51.0367111,103,60,1,30
0,71.4828068,51.1493936,3,60,1,244
0,71.4274728,51.1654892,3,60,1,78
0,71.4717561,51.1633498,3,60,2,48
0,71.4718795,51.1633228,3,60,1,302
0,71.4458674,51.1616778,105,60,1,260
0,71.4458943,51.1617249,105,60,1,352
0,71.4295381,51.0496973,1,70,1,135
0,71.4298385,51.0494005,1,70,1,315
0,67.6658678,47.8018847,5,60,1,309
0,67.6909277,47.8069381,5,60,1,129
0,67.7032042,47.8045799,1,60,2,92
0,67.6692796,47.7990813,1,60,2,142
0,67.7028609,47.7941732,106,60,2,271
0,71.3896380,51.0537660,1,80,1,186
0,71.4097177,51.1628385,3,60,1,350
0,71.4273946,51.1657094,3,60,1,171
0,71.4123460,51.1212040,1,60,1,5
0,71.4118990,51.1184100,3,40,1,103
0,71.4114000,51.1161830,3,60,1,4
0,68.3509362,54.3154593,5,40,1,102
0,71.3451505,51.1885429,1,60,2,112
0,71.3988429,51.1681466,1,60,2,83
0,71.3775408,51.1804191,1,60,1,293
0,71.3778412,51.1806074,1,60,1,113
0,71.3402259,51.1792286,102,30,2,134
0,71.3438147,51.1867743,102,20,2,33
0,69.4005597,53.2755255,1,40,1,81
0,71.4599061,51.1181957,1,60,1,285
0,69.3376458,53.2933616,1,60,1,100
0,69.3551338,53.2851653,106,50,1,109
0,73.1352890,49.7859539,5,40,2,43
0,73.1801140,49.9491541,101,50,1,98
0,73.1959417,49.9477543,101,50,1,278
0,73.1582755,49.7868371,5,40,1,315
0,73.0258656,49.8068967,5,60,1,256
0,73.1132627,49.8208355,5,40,1,246
0,73.1533349,49.7774086,3,50,2,140
0,73.1534475,49.7773913,3,40,2,45
0,73.1185091,49.7785206,3,60,2,50
0,73.1420159,49.7848109,3,60,2,40
0,73.1587100,49.8205420,5,60,1,180
0,69.4197034,53.2882775,101,40,1,100
0,73.1377566,49.7877618,101,40,1,137
0,73.1420427,49.7848628,3,60,2,314
0,73.1186271,49.7786869,1,40,2,133
0,73.1400150,49.8145194,3,60,2,163
0,73.1059134,49.8065781,3,60,0,0
0,73.1165028,49.7800933,101,40,1,333
0,73.1162345,49.7805921,101,40,1,150
0,72.6852036,50.4514108,5,60,0,0
0,72.7335262,50.3188330,5,60,0,0
0,72.8891802,50.2196163,5,60,0,0
0,73.1059939,49.8066335,3,40,1,40
0,73.1104571,49.8101024,101,40,1,40
0,73.0297709,49.8076929,5,40,1,74
0,73.0194712,49.8632946,101,40,1,244
0,73.0450916,49.8715999,101,40,1,48
0,73.1000394,49.8048921,1,60,2,245
0,72.9701883,50.0504465,1,40,1,287
0,72.9769421,50.0499057,2,40,0,0
0,72.9764915,50.0496886,2,40,0,0
0,73.0887794,49.8016272,3,60,0,0
0,73.2164580,49.9741785,101,40,1,130
0,73.2196820,49.9724258,101,40,1,128
0,73.1822920,49.9489417,101,50,1,272
0,73.2125044,49.9432528,101,60,1,168
0,73.2409787,49.9459660,5,60,2,20
0,73.2598561,49.9724086,5,60,2,208
0,73.2154387,49.9566146,104,40,1,206
0,73.2169676,49.9568769,104,40,1,28
0,69.3901449,53.3015870,101,50,1,29
0,69.3931490,53.3038056,101,50,1,42
0,69.3955605,53.3054216,101,50,1,40
0,69.4034200,53.2757795,101,40,1,81
0,69.3998464,53.2754648,101,40,1,261
0,69.3924007,53.3109109,102,30,1,270
0,69.3902013,53.3109161,102,30,1,90
0,69.3712288,53.2863262,5,40,2,261
0,69.3843088,53.2965712,101,40,1,171
0,69.3946085,53.2802640,102,20,1,351
0,69.3944470,53.2808652,102,20,1,171
0,69.4014167,53.2824879,102,30,2,81
0,69.3879257,53.2836429,3,60,2,81
0,69.3789062,53.2847901,101,30,1,260
0,69.4000688,53.2754805,1,40,1,260
0,69.3902358,53.2745263,3,60,2,81
0,69.3902332,53.2745070,3,60,2,171
0,69.3879265,53.2836419,3,60,2,171
0,69.3989193,53.3018525,1,40,1,332
0,69.3904485,53.3019252,3,50,2,213
0,69.3748695,53.2867015,101,40,1,80
0,69.3721282,53.2841053,101,40,1,260
0,69.3712083,53.2840220,101,40,1,80
0,69.3863600,53.2879072,3,60,1,79
0,69.3870065,53.2879777,3,60,1,260
0,69.3867704,53.2878029,3,60,1,349
0,69.3866926,53.2880612,3,60,1,170
0,69.4036993,53.2949304,101,40,1,339
0,69.3911429,53.3024364,101,50,1,220
0,69.3894390,53.3006424,101,50,1,204
0,69.3878496,53.2985606,101,50,1,205
0,69.3854489,53.2955051,101,50,1,205
0,73.0574620,49.9310959,101,80,1,11
0,73.2007778,49.9472918,101,40,1,277
0,73.2140923,49.9722015,101,40,1,219
0,73.2132339,49.9761760,101,40,1,218
0,73.2044846,49.9648487,102,20,2,37
0,73.2087922,49.9453241,101,40,1,130
0,73.0400705,49.8951320,1,60,2,171
0,73.0566519,49.8571805,101,40,1,197
0,73.0690062,49.8296437,1,60,2,155
0,73.0806041,49.8086657,5,40,1,156
0,73.0567110,49.8582214,5,40,1,12
0,71.3589378,51.1851583,1,60,1,290
0,71.3582950,51.1853710,1,60,1,110
0,71.5204660,51.1414220,1,60,1,120
0,71.4165504,51.0670284,1,60,1,13
0,71.3801950,51.1474500,1,60,1,252
0,71.3795660,51.1474960,1,60,1,69
0,71.4484499,51.1530569,1,60,1,58
0,71.4164736,51.0657418,1,60,1,195
0,71.4292753,51.1526576,1,60,1,42
0,71.4277464,51.1513386,1,60,1,223
0,67.5586706,47.8759041,101,70,1,140
0,67.5567555,47.8775736,101,50,1,329
0,67.5563961,47.8779047,101,70,1,326
0,67.5207173,47.9031239,102,40,2,15
0,67.5204706,47.9025558,102,20,2,13
0,67.5197571,47.9005921,101,40,1,286
0,71.3779378,51.1805670,1,60,1,113
0,73.1003907,49.7905480,101,50,1,132
0,72.9668838,50.0518484,5,40,0,0
0,73.0820739,49.7900961,101,40,1,132
0,69.1497302,54.8696205,102,20,2,48
0,69.1578841,54.8626774,102,10,2,137
0,69.1651070,54.8653220,101,40,1,311
0,73.1571866,49.7825942,5,40,2,5
0,73.1357396,49.7888701,101,40,1,300
0,73.1630874,49.7933998,101,40,1,135
0,73.0868322,49.7998232,101,40,1,158
0,73.0872989,49.7989992,101,40,1,339
0,73.1521010,49.7906571,101,40,1,314
0,73.1568968,49.7877272,101,40,1,134
0,73.0773962,49.8131348,101,40,1,338
0,73.0906034,49.7957096,101,40,1,132
0,72.6684934,49.6261132,104,50,2,173
0,73.1588227,49.7863210,101,40,1,45
